,OBJECTID,SWSN_Type,SWSN_Ware,Dogozshi,Include,Decoration,Red_slipped,Corrugated,Start_Date,End_Date,Chronology,Chronology2,Plus,References_,Comments,Smudged
452,398,Kotyiti Glaze-on-yellow (Glaze F),Rio Grande Glaze Ware,0,1,bichrome,0,0,1520,1700,1,1,0,Eckert 2006,,NA
457,391,Kuaua Glaze Polychrome (Glaze C),Rio Grande Glaze Ware,0,1,polychrome,0,0,1410,1600,1,1,1,Eckert 2006,,NA
467,388,Largo Glaze Polychrome (Glaze B),Rio Grande Glaze Ware,0,1,polychrome,0,0,1400,1450,1,1,0,Boyd Dyer 2008,,NA
468,968,"Largo Glaze, Undifferentiated (Glaze B)",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1400,1450,1,1,0,,,0
469,387,Largo Glaze-on-red (Glaze B),Rio Grande Glaze Ware,0,1,bichrome,1,0,1400,1450,1,1,0,Boyd Dyer 2008,,NA
470,144,Largo Glaze-on-yellow (Glaze B),Rio Grande Glaze Ware,0,1,bichrome,0,0,1400,1450,1,1,0,Boyd Dyer 2008,,NA
515,151,Los Padillas Glaze Polychrome (Glaze A),Rio Grande Glaze Ware,0,1,polychrome,1,0,1175,1300,1,1,0,Boyd Dyer 2008,,NA
544,389,Medio Glaze Polychrome (Glaze B),Rio Grande Glaze Ware,0,1,polychrome,0,0,1425,1475,1,1,0,Boyd Dyer 2008,,NA
678,971,Pecos Glaze Polychrome (Glaze E),Rio Grande Glaze Ware,0,1,polychrome,0,0,1500,1650,1,1,0,,,0
679,397,Pecos Glaze Polychrome(Glaze E),Rio Grande Glaze Ware,0,1,polychrome,1,0,1480,1630,1,1,1,Eckert 2006,,NA
680,972,"Pecos Glaze, Undifferentiated (Glaze E)",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1500,1650,1,1,0,,,0
681,973,Pecos Glaze-on-red (Glaze E),Rio Grande Glaze Ware,0,1,bichrome,0,0,1500,1650,1,1,0,,,0
682,974,Pecos Glaze-on-yellow (Glaze E),Rio Grande Glaze Ware,0,1,bichrome,0,0,1500,1650,1,1,0,,,0
748,405,Polvadera Glaze-on-red (Glaze F),Rio Grande Glaze Ware,0,1,bichrome,1,0,1520,1700,1,1,0,Eckert 2006,,NA
749,406,Polvadera Glaze-on-yellow (Glaze F),Rio Grande Glaze Ware,0,1,bichrome,0,0,1520,1700,1,1,0,Eckert 2006,,NA
752,382,Pottery Mound Polychrome,Rio Grande Glaze Ware,0,1,polychrome,0,0,1400,1490,1,1,0,Boyd Dyer 2008,,NA
758,393,Puaray Glaze Polychrome (Glaze E),Rio Grande Glaze Ware,0,1,polychrome,0,0,1480,1630,1,1,1,Eckert 2006,,NA
759,980,"Puaray Glaze, Undifferentiated (Glaze E)",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1515,1650,1,1,0,,,0
760,214,Puaray Glaze-on-red (Glaze E),Rio Grande Glaze Ware,0,1,bichrome,1,0,1480,1630,1,1,1,Eckert 2006,,NA
761,392,Puaray Glaze-on-yellow (Glaze E),Rio Grande Glaze Ware,0,1,bichrome,0,0,1480,1630,1,1,1,Eckert 2006,,NA
775,981,Puname Polychrome,Rio Grande Glaze Ware,0,1,polychrome,0,0,1700,1750,1,1,0,,,0
811,1008,"Rio Grande Glaze (Glaze A), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1313,1500,1,1,0,,,0
812,1669,"Rio Grande Glaze (Glaze AB), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1313,1500,1,1,0,,,0
813,1673,"Rio Grande Glaze (Glaze ABC), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1313,1600,1,1,0,,,0
814,1009,"Rio Grande Glaze (Glaze B), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1400,1500,1,1,0,,,0
815,1010,"Rio Grande Glaze (Glaze C), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1410,1600,1,1,0,,,0
816,1014,"Rio Grande Glaze (Glaze CD), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1410,1600,1,1,0,,,0
817,1011,"Rio Grande Glaze (Glaze D), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1460,1550,1,1,0,,,0
818,1012,"Rio Grande Glaze (Glaze E), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1480,1630,1,1,0,,,0
819,1015,"Rio Grande Glaze (Glaze EF), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1480,1700,1,1,0,,,0
820,1013,"Rio Grande Glaze (Glaze F), Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1575,1700,1,1,0,,,0
821,1004,"Rio Grande Glaze Polychrome, Undifferentiated",Rio Grande Glaze Ware,0,1,polychrome,0,0,1313,1700,0,0,0,,,0
822,341,"Rio Grande Glaze, Undifferentiated",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1313,1700,0,0,0,,,NA
823,1041,"Rio Grande Glaze-on-buff, Undifferentiated",Rio Grande Glaze Ware,0,1,bichrome,0,0,1313,1700,0,0,0,,,0
824,1005,"Rio Grande Glaze-on-red, Undifferentiated",Rio Grande Glaze Ware,0,1,bichrome,1,0,1313,1700,0,0,0,,,0
825,1006,"Rio Grande Glaze-on-white, Undifferentiated",Rio Grande Glaze Ware,0,1,bichrome,0,0,1313,1700,0,0,0,,,0
826,1007,"Rio Grande Glaze-on-yellow, Undifferentiated",Rio Grande Glaze Ware,0,1,bichrome,0,0,1313,1700,0,0,0,,,0
886,237,San Clemente Glaze Polychrome (Glaze A),Rio Grande Glaze Ware,0,1,polychrome,0,0,1325,1425,1,1,0,Boyd Dyer 2008,,NA
893,239,San Lazaro Glaze Polychrome (Glaze D),Rio Grande Glaze Ware,0,1,polychrome,1,0,1470,1515,1,1,0,Boyd Dyer 2008,,NA
894,986,"San Lazaro Glaze, Undifferentiated (Glaze D)",Rio Grande Glaze Ware,0,1,undifferentiated dec,0,0,1475,1525,1,1,0,,,0
895,987,San Lazaro Glaze-on-red (Glaze D),Rio Grande Glaze Ware,0,1,bichrome,1,0,1475,1525,1,1,0,,,0
896,988,San Lazaro Glaze-on-yellow (Glaze D),Rio Grande Glaze Ware,0,1,bichrome,0,0,1475,1525,1,1,0,,,0
898,401,San Marcos Glaze Polychrome (Glaze F),Rio Grande Glaze Ware,0,1,polychrome,1,0,1520,1700,1,1,0,Eckert 2006,,NA
899,989,San Marcos Glaze-on-red (Glaze C),Rio Grande Glaze Ware,0,1,bichrome,1,0,1425,1550,1,1,0,,,0
900,400,San Marcos Glaze-on-red (Glaze F),Rio Grande Glaze Ware,0,1,bichrome,1,0,1520,1700,1,1,0,Eckert 2006,,NA
905,386,Sanchez Glaze Polychrome (Glaze A),Rio Grande Glaze Ware,0,1,polychrome,1,0,1350,1425,1,1,0,Boyd Dyer 2008,,NA
906,384,Sanchez Glaze-on-red (Glaze A),Rio Grande Glaze Ware,0,1,bichrome,1,0,1350,1425,1,1,0,Boyd Dyer 2008,,NA
907,385,Sanchez Glaze-on-yellow (Glaze A),Rio Grande Glaze Ware,0,1,bichrome,0,0,1350,1425,1,1,0,Boyd Dyer 2008,,NA
1031,395,Tiguex Glaze Polychrome (Glaze E),Rio Grande Glaze Ware,0,1,polychrome,0,0,1480,1630,1,1,1,Eckert 2006,,NA
1037,993,Tonque Glaze-on-polychrome (Glaze C),Rio Grande Glaze Ware,0,1,polychrome,0,0,1425,1550,1,1,0,,,0
1045,279,Trenequel Glaze Polychrome (Glaze E),Rio Grande Glaze Ware,0,1,polychrome,0,0,1480,1630,1,1,1,Eckert 2006,,NA
1183,404,Yunque Glaze-on-red (Glaze F),Rio Grande Glaze Ware,0,1,bichrome,1,0,1520,1700,1,1,0,Eckert 2006,,NA
97,32,Casa Colorado Black-on-white,Rio Grande White Ware,0,1,bichrome,0,0,1150,1400,1,1,0,Hawley 1936; Atwood 1974; Dittert and Plog 1980,,NA
838,342,"Rio Grande White ware, Undifferentiated",Rio Grande White Ware,0,0,bichrome,0,0,1050,1672,0,0,0,,,NA
851,983,Rowe Black-on-white,Rio Grande White Ware,0,1,bichrome,0,0,1300,1425,1,1,0,,,0
209,55,Cliff Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,Lyons 2004,,NA
210,56,"Cliff Polychrome, Corrugated",Roosevelt Red Ware,0,1,polychrome,1,1,1350,1450,1,1,0,,dates from P. Lyons,NA
211,513,Cliff White-on-red,Roosevelt Red Ware,0,1,bichrome,1,0,1350,1450,1,1,0,Neuzil and Lyons 2006,,NA
212,601,Cliff/Nine-mile Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,,,NA
248,68,Dinwiddie Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,Lyons 2004,,1
307,88,Gila Black-on-red,Roosevelt Red Ware,0,1,bichrome,1,0,1300,1375,1,1,0,Breternitz 1966,,NA
320,91,Gila Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1325,1450,1,1,0,Lyons 2004; Jeff Clark (pc),includes Patrick Lyon's Whiteriver polychrome:Gila variety type,NA
325,602,Gila/Cliff Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1325,1450,1,1,0,see pure types,,NA
328,480,Gila/Tonto Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1325,1450,1,1,0,Lyons 2004,Either/or,NA
475,690,"Late Roosevelt Polychrome, Undifferentiated",Roosevelt Red Ware,0,1,polychrome,0,0,1350,1450,1,1,0,Lyons (personal communication),,NA
514,433,Los Muertos Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1375,1450,1,1,0,Neuzil and Lyons 2005,,NA
636,172,Ninemile Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,Lyons 2004,,NA
687,181,Phoenix Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,Lyons 2004,,NA
713,191,Pinto Black-on-red,Roosevelt Red Ware,0,1,bichrome,1,0,1275,1300,1,1,0,DiPeso 1958; Cunkle 1994,,NA
714,900,Pinto Black-on-red or Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1280,1330,1,1,0,,,NA
715,192,"Pinto Black-on-red, Corrugated",Roosevelt Red Ware,0,1,bichrome,1,1,1275,1300,1,1,0,,dates from P. Lyons,NA
716,193,Pinto Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1280,1330,1,1,0,Lyons 2004,,NA
717,606,Pinto/Gila Black-on-red,Roosevelt Red Ware,0,1,bichrome,1,0,1275,1375,1,1,0,see pure types,pinto or gila indeterminate,NA
718,194,Pinto/Gila Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1300,1450,1,1,0,,dates from P. Lyons,NA
719,605,Pinto-Gila Black-on-red,Roosevelt Red Ware,0,1,bichrome,1,0,1275,1375,1,1,0,Jeff Clark (personal communication),,NA
720,604,Pinto-Gila Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1300,1350,1,1,0,Jeff Clark (personal communication),,NA
721,195,Pinto-Gila Polychrome A,Roosevelt Red Ware,0,1,polychrome,1,0,1300,1350,1,1,0,,dates from P. Lyons,NA
722,196,Pinto-Gila Polychrome B,Roosevelt Red Ware,0,1,polychrome,1,0,1300,1350,1,1,0,,dates from P. Lyons,NA
840,343,"Roosevelt Black-on-red, Undifferentiated",Roosevelt Red Ware,0,1,bichrome,1,0,1275,1375,1,1,0,,,NA
842,344,"Roosevelt Polychrome, Undifferentiated",Roosevelt Red Ware,0,1,polychrome,1,0,1280,1450,1,1,0,,,NA
844,346,"Roosevelt White-on-red, Undifferentiated",Roosevelt Red Ware,0,1,bichrome,1,0,1300,1350,1,1,0,,,NA
1038,275,Tonto Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1350,1450,1,1,0,,Lyons 2004 says 1340-1400; includes Lyons' Whiteriver poly: tonto variety,NA
1040,276,Tonto-Cliff Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1340,1450,1,1,0,,dates from P. Lyons,NA
1151,943,Whiteriver Polychrome,Roosevelt Red Ware,0,1,polychrome,1,0,1360,1450,1,1,0,Patrick Lyons,,0
866,232,Salado White-on-red,Salado Series,0,1,bichrome,1,0,1150,1450,1,1,0,,dates from P. Lyons,NA
884,236,San Carlos Red-on-brown,San Carlos Brown Ware,0,1,bichrome,0,0,1250,1450,1,1,0,Lyons 2004,,NA
885,202,San Carlos Red-on-white,San Carlos Brown Ware,0,1,bichrome,1,0,1250,1450,1,1,0,Lyons 2004,,NA
240,65,Deadmans Black-on-gray,San Francisco Mountain Gray Ware,0,1,bichrome,0,0,900,1100,1,1,0,Colton 1958,,NA
298,82,Floyd Black-on-gray,San Francisco Mountain Gray Ware,0,1,bichrome,0,0,700,900,1,1,0,Colton 1958,,NA
1,832,Abajo Polychrome,San Juan Red Ware,0,1,polychrome,1,0,850,925,1,1,0,SW Virtual Museum,,NA
2,1,Abajo Red-on-orange,San Juan Red Ware,0,1,bichrome,1,0,760,880,1,1,0,Jim Allison; Lucius and Breternitz 1981; ALP project; CCAC Manual,,NA
78,26,Bluff Black-on-red,San Juan Red Ware,0,1,bichrome,1,0,800,925,1,1,0,Hurst 2009,,NA
239,64,Deadmans (La Plata) Black-on-red,San Juan Red Ware,0,1,bichrome,1,0,880,1050,1,1,0,Hurst 2009; CCAC Manual,,NA
540,866,McPhee Black-on-red,San Juan Red Ware,0,1,bichrome,1,0,800,925,1,1,0,CCAC Website,,NA
572,1135,Middleton Black-on-red,San Juan Red Ware,0,1,bichrome,1,0,900,1130,1,1,NA,Colton 1956,,0
573,1136,Middleton Polychrome,San Juan Red Ware,0,1,polychrome,1,0,900,1130,1,1,NA,Colton 1956,,0
574,1137,Middleton Red,San Juan Red Ware,0,1,undifferentiated dec,1,0,900,1130,1,1,NA,Colton 1956,,0
890,347,"San Juan Black-on-red, Undifferentiated",San Juan Red Ware,0,0,bichrome,1,0,700,1050,0,0,0,,,NA
891,348,"San Juan Red ware, Undifferentiated",San Juan Red Ware,0,0,undifferentiated dec,1,0,700,1050,0,0,0,,,NA
108,40,Cerros Red-on-white,San Simon Series,0,1,bichrome,0,0,800,1000,1,1,0,Heckman et al. 2000; Sayles 1945,,NA
254,70,Dos Cabezas Red-on-brown,San Simon Series,0,1,bichrome,0,0,650,800,1,1,0,Heckman et al. 2000,,NA
255,609,Dos Cabezas/Pinaleno Red-on-brown,San Simon Series,0,1,bichrome,0,0,650,900,1,1,0,see pure types,,NA
276,76,Encinas Red-on-brown,San Simon Series,0,1,bichrome,0,0,950,1200,1,1,0,Heckman et al. 2000,,NA
277,615,Encinas Red-on-white,San Simon Series,0,1,bichrome,0,0,950,1200,1,1,0,Heckman et al. 2000,,NA
301,85,Galiuro Red-on-brown,San Simon Series,0,1,bichrome,0,0,700,900,1,1,0,Heckman et al. 2000,,NA
302,610,Galiuro/Encinas Red-on-brown,San Simon Series,0,1,bichrome,0,0,700,1200,1,1,0,see pure types,,NA
704,614,Pinaleno Red-on-brown,San Simon Series,0,1,bichrome,0,0,700,800,1,1,0,Heckman et al. 2000,,NA
705,613,Pinaleno/Galiuro Red-on-brown,San Simon Series,0,1,bichrome,0,0,700,900,1,1,0,Heckman et al. 2000,,NA
904,349,"San Simon Red-on-brown, Undifferentiated",San Simon Series,0,1,bichrome,0,0,650,1200,0,0,0,,,NA
107,1022,Cerro Colorado Polychrome,Sayula Ware,0,1,polychrome,0,0,550,1100,0,1,0,,,0
945,677,Sichomovi Black-on-red,Sichomovi Red Ware,0,1,bichrome,1,0,1900,1950,1,1,0,Colton 1956,,NA
94,1019,Carmen Red-on-gray,Sonoran Gray Ware,0,1,bichrome,0,0,NA,NA,0,0,0,,,0
995,1033,Talpa Black-on-white,Taos White Ware,0,1,bichrome,0,0,1250,1400,1,1,NA,OAS Website,,0
1002,269,Taos Black-on-white,Taos White Ware,0,1,bichrome,0,0,1150,1250,1,1,0,Mera 1935; Wetherington 1968; Dittert and Plog 1980,,NA
1044,1034,Trampas Black-on-white,Taos White Ware,0,1,bichrome,0,0,1575,1696,1,1,NA,OAS Website,,0
1116,1035,Vadito Black-on-white,Taos White Ware,0,1,bichrome,0,0,1325,1600,1,1,NA,OAS Website,,0
484,146,Lincoln Black-on-red,Three Rivers Red Ware,0,1,bichrome,1,0,1300,1400,1,1,0,Human Systems Research 1973,,NA
876,1054,San Andres Red-on-terracotta,Three Rivers Red Ware,0,1,bichrome,0,0,750,1150,1,1,NA,,,0
1029,1023,"Three Rivers Red, Undifferentiated",Three Rivers Red Ware,0,1,undifferentiated dec,1,0,1125,1400,1,1,0,,,0
1030,273,Three Rivers Red-on-terracotta,Three Rivers Red Ware,0,1,bichrome,0,0,1125,1300,1,1,0,Human Systems Research 1973; Smiley 1978,,NA
26,7,Aquarius Black-on-brown,Tizon Brown Ware,0,1,bichrome,0,0,900,1890,1,1,0,Dobyns and Euler 1958,,NA
104,37,Cerbat Black-on-brown,Tizon Brown Ware,0,1,bichrome,0,0,700,1890,1,1,0,Dobyns and Euler 1958,"""Unknown date""",NA
106,39,Cerbat Red-on-brown,Tizon Brown Ware,0,1,bichrome,0,0,700,1890,1,1,0,,,NA
637,173,Nogales Polychrome,Trincheras Series,0,1,polychrome,0,0,700,1150,1,1,0,Heckman et al. 2000,,NA
915,242,Santa Cruz Polychrome,Trincheras Series,0,1,polychrome,0,0,1350,1450,1,1,0,DiPeso 1956,,NA
1048,281,Trincheras Polychrome,Trincheras Series,0,1,polychrome,0,0,700,1150,1,1,0,Heckman et al. 2000; Haury 1950?,"Heckman et al. 2000 says all Trincheras is AD 700-1150, but not well dated",NA
1049,282,Trincheras Purple-on-red,Trincheras Series,0,1,bichrome,1,0,700,1150,1,1,0,Heckman et al. 2000; Haury 1950?,,NA
1051,352,"Trincheras type, Undifferentiated",Trincheras Series,0,1,undifferentiated dec,0,0,700,1150,0,0,0,Heckman et al. 2000; Haury 1950?,,NA
22,1002,Amusovi Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1110,1320,1,1,0,SW Virtual Museum,,NA
87,29,Cameron Polychrome,Tsegi Orange Ware,1,1,polychrome,1,0,1040,1170,1,1,0,SW Virtual Museum,,NA
88,668,Cameron/Tusayan Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1040,1320,1,1,0,SW Virtual Museum,,NA
194,51,Citadel Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1040,1200,1,1,0,SW Virtual Museum,,NA
195,669,Citadel/Tusayan Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1040,1320,1,1,0,SW Virtual Museum,,NA
250,726,Dogoszhi Polychrome,Tsegi Orange Ware,1,1,polychrome,1,0,1040,1320,1,1,0,SW Virtual Museum,,NA
420,125,Kayenta Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1250,1320,1,1,0,SW Virtual Museum,,NA
429,130,Kiet Siel Black-on-red,Tsegi Orange Ware,0,1,bichrome,1,0,1250,1320,1,1,0,SW Virtual Museum,,NA
431,131,Kiet Siel Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1250,1320,1,1,0,SW Virtual Museum,,NA
541,160,Medicine Black-on-red,Tsegi Orange Ware,0,1,bichrome,1,0,1040,1170,1,1,0,SW Virtual Museum,,NA
543,881,Medicine/Tusayan Black-on-red,Tsegi Orange Ware,0,1,bichrome,1,0,1040,1240,1,1,0,combined types,,NA
1052,284,Tsegi Black-on-orange,Tsegi Orange Ware,0,1,bichrome,1,0,1225,1300,1,1,0,SW Virtual Museum,,NA
1053,353,"Tsegi Black-on-red, Undifferentiated",Tsegi Orange Ware,0,0,bichrome,1,0,1040,1320,1,0,0,SW Virtual Museum,,NA
1054,285,Tsegi Orange,Tsegi Orange Ware,0,0,undifferentiated dec,1,0,1250,1300,1,1,0,SW Virtual Museum,,NA
1055,355,"Tsegi Orange Ware, Undifferentiated",Tsegi Orange Ware,0,0,undifferentiated dec,1,0,1000,1300,1,0,0,SW Virtual Museum,,NA
1056,286,Tsegi Polychrome,Tsegi Orange Ware,0,0,polychrome,1,0,1225,1300,1,1,0,SW Virtual Museum,,NA
1057,354,"Tsegi Polychrome, Undifferentiated",Tsegi Orange Ware,0,0,polychrome,1,0,1040,1320,1,0,0,SW Virtual Museum,,NA
1058,287,Tsegi Red-on-orange,Tsegi Orange Ware,0,0,bichrome,1,0,1200,1300,1,1,0,SW Virtual Museum,,NA
1074,295,Tusayan A Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1110,1320,1,1,0,SW Virtual Museum,,NA
1075,296,Tusayan B Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1110,1320,1,1,0,SW Virtual Museum,,NA
1076,297,Tusayan Black-on-red,Tsegi Orange Ware,1,1,bichrome,1,0,1045,1240,1,1,0,SW Virtual Museum,,NA
1093,428,Tusayan Polychrome,Tsegi Orange Ware,0,1,polychrome,1,0,1110,1320,1,1,0,SW Virtual Museum,,NA
89,30,Canada del Oro Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,700,800,1,1,0,Heckman et al. 2000,,NA
90,588,Cañada del Oro/Rillito Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,700,950,1,1,0,see references for pure types.,,NA
91,591,Cañada del Oro/Rillito/Rincon Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,700,1150,1,1,0,see references for pure types.,,NA
92,31,Canada del Oro-Gila Butte Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,1,0,700,850,1,1,0,,combining dates from Gila Butte and Canada del Oro,NA
313,90,Gila Butte-Canada del Oro style Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,700,850,1,1,0,,combining dates from Gila Butte and Canada del Oro,NA
796,221,Rillito Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,800,950,1,1,0,Heckman et al. 2000,,NA
797,680,"Rillito Red-on-brown, White Slip",Tucson Basin Brown Ware,0,1,bichrome,0,0,800,950,1,1,0,see non slipped type,,NA
798,589,Rillito/Rincon Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,800,1150,1,1,0,see references for pure types.,,NA
799,682,"Rillito/Rincon Red-on-brown, White Slip",Tucson Basin Brown Ware,0,1,bichrome,0,0,800,1150,1,1,0,see non slipped type,,NA
800,223,Rincon Polychrome,Tucson Basin Brown Ware,0,1,polychrome,0,0,1000,1100,1,1,0,Heckman et al. 2000,,NA
802,225,Rincon Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,950,1150,1,1,0,Heckman et al. 2000,,NA
803,681,"Rincon Red-on-brown, White Slip",Tucson Basin Brown Ware,0,1,bichrome,0,0,950,1150,1,1,0,see non slipped type,,NA
804,590,Rincon/Tanque Verde Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,950,1350,1,1,0,see references for pure types.,,NA
805,683,"Rincon/Tanque Verde Red-on-brown, White Slip",Tucson Basin Brown Ware,0,1,bichrome,0,0,950,1350,1,1,0,see non slipped type,,NA
839,227,Rio Rico Polychrome,Tucson Basin Brown Ware,0,1,polychrome,0,0,850,1000,1,1,0,Doyel 1977,,NA
862,230,Sacaton-Rincon style Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,950,1150,1,1,0,,,NA
962,255,Snaketown style Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,700,750,1,1,0,Dean 1991,,NA
988,264,Sweetwater style Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,600,700,1,1,0,Dean 1991,,NA
996,592,Tanque Verde Black-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,1150,1350,1,1,0,Gregonis (2011),,NA
997,593,Tanque Verde Black-on-white,Tucson Basin Brown Ware,0,1,bichrome,0,0,1150,1350,1,1,0,Gregonis (2011),,NA
998,267,Tanque Verde Polychrome,Tucson Basin Brown Ware,0,1,polychrome,0,0,1150,1300,1,1,0,Heckman et al. 2000,,NA
999,268,Tanque Verde Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,1150,1350,1,1,0,Heckman et al. 2000,,NA
1000,684,"Tanque Verde Red-on-brown, White Slip",Tucson Basin Brown Ware,0,1,bichrome,0,0,1150,1350,1,1,0,see non slipped type,,NA
1059,357,"Tucson Basin Brown Ware, Undifferentiated",Tucson Basin Brown Ware,0,1,bichrome,0,0,700,1350,0,0,0,,,NA
1060,358,"Tucson Basin Red-on-brown, Undifferentiated",Tucson Basin Brown Ware,0,1,bichrome,0,0,700,1350,0,0,0,,,NA
1122,1691,Vamori Red-on-brown,Tucson Basin Brown Ware,0,1,bichrome,0,0,800,1100,1,1,0,,,0
487,148,Lino Black-on-gray (Tusayan),Tusayan Gray Ware,0,1,bichrome,0,0,600,850,1,1,0,Hays-Gilpin and Van Hartesveldt 1998,,NA
57,20,Betatakin Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1260,1300,1,1,0,Colton and Hargrave 1937; Colton 1955; Dittert and Plog 1980,,NA
65,24,Black Mesa Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1000,1100,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
68,636,Black Mesa/Flagstaff Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1000,1220,1,1,0,see pure types,,NA
69,554,Black Mesa/Sosi Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1000,1180,1,1,0,Hays-Gilpin and Van Hartesveldt 1998,,NA
249,69,Dogoszhi Black-on-white,Tusayan White Ware,1,1,bichrome,0,0,1040,1210,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
296,81,Flagstaff Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1150,1220,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
412,122,Kana-a Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,825,1000,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
415,637,Kana-a/Black Mesa Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,800,1100,1,1,0,see pure types,,NA
419,124,Kayenta Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1250,1300,1,1,0,Dittert and Plog 1980,,NA
493,926,Lino/Kana'a Black-on-White,Tusayan White Ware,0,1,bichrome,0,0,660,1050,1,1,NA,,,0
934,247,Shato Black-on-white,Tusayan White Ware,0,1,bichrome,0,1,1025,1150,1,1,0,Colton 1955; Dittert and Eddy 1963,,NA
974,258,Sosi Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1070,1180,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
975,557,Sosi/Dogozhi Black-on-white,Tusayan White Ware,1,1,bichrome,0,0,1040,1210,1,1,0,Goetze and Mills 1993,,NA
1077,298,Tusayan Black-on-white,Tusayan White Ware,0,1,bichrome,0,0,1200,1300,1,1,0,Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991,,NA
1078,877,"Tusayan BMIII/PI White Ware, Type Undifferentiated",Tusayan White Ware,0,0,bichrome,0,0,600,900,1,0,0,,,NA
1087,838,"Tusayan PI White Ware, Type Undifferentiated",Tusayan White Ware,0,0,bichrome,0,0,800,900,1,0,0,,,NA
1088,840,"Tusayan PI/PII White Ware, Type Undifferentiated",Tusayan White Ware,0,0,bichrome,0,0,800,1100,1,0,0,,,NA
